baseline,baseline_label,group,source_path,scripts_relative_path,filename,version_label,role,navigation_status,direct_run_candidate,has_main_guard,has_main_function,uses_argparse,uses_app_launcher,syntax_status,syntax_detail,summary,direct_local_imports,runtime_import_roots,referenced_asset_count,referenced_assets,static_signals
2.1.1,Isaac Lab 2.1.1 / OpenWorldTactile-UIPC,experiments/benchmarks/tactile_sim_performance/envs,active-isaaclab-2.1.1/experiments/benchmarks/tactile_sim_performance/envs/__init__.py,experiments/benchmarks/tactile_sim_performance/envs/__init__.py,__init__.py,,包初始化模块,被入口脚本调用，不作为默认运行入口,no,no,no,no,no,ok,,  init  ,,,0,,module_only
2.1.1,Isaac Lab 2.1.1 / OpenWorldTactile-UIPC,experiments/benchmarks/tactile_sim_performance/envs,active-isaaclab-2.1.1/experiments/benchmarks/tactile_sim_performance/envs/ball_rolling_physx_rigid.py,experiments/benchmarks/tactile_sim_performance/envs/ball_rolling_physx_rigid.py,ball_rolling_physx_rigid.py,,场景/环境配置模块,被入口脚本调用，不作为默认运行入口,no,no,no,no,no,ok,,ball rolling physx rigid,openworldtactile; openworldtactile.simulation_approaches.fots; openworldtactile_assets; openworldtactile_assets.robots.franka.franka_gsmini_single_rigid; openworldtactile_assets.sensors.gelsight_mini.gsmini_cfg; openworldtactile_uipc,isaaclab; torch,2,/Props/ball_wood.usd; /Props/plate.usd,module_only
2.1.1,Isaac Lab 2.1.1 / OpenWorldTactile-UIPC,experiments/benchmarks/tactile_sim_performance/envs,active-isaaclab-2.1.1/experiments/benchmarks/tactile_sim_performance/envs/ball_rolling_uipc.py,experiments/benchmarks/tactile_sim_performance/envs/ball_rolling_uipc.py,ball_rolling_uipc.py,,场景/环境配置模块,被入口脚本调用，不作为默认运行入口,no,no,no,no,no,ok,,ball rolling uipc,.ball_rolling_physx_rigid; openworldtactile; openworldtactile_assets; openworldtactile_assets.robots.franka.franka_gsmini_single_uipc; openworldtactile_assets.sensors.gelsight_mini.gsmini_cfg; openworldtactile_uipc; openworldtactile_uipc.utils,isaaclab; isaacsim; torch,1,/Props/ball_wood.usd,module_only
2.1.1,Isaac Lab 2.1.1 / OpenWorldTactile-UIPC,experiments/benchmarks/tactile_sim_performance/envs,active-isaaclab-2.1.1/experiments/benchmarks/tactile_sim_performance/envs/ball_rolling_uipc_texture.py,experiments/benchmarks/tactile_sim_performance/envs/ball_rolling_uipc_texture.py,ball_rolling_uipc_texture.py,,场景/环境配置模块,被入口脚本调用，不作为默认运行入口,no,no,no,no,no,ok,,ball rolling uipc texture,.ball_rolling_physx_rigid; openworldtactile; openworldtactile_assets; openworldtactile_assets.robots.franka.franka_gsmini_single_uipc_textured; openworldtactile_assets.sensors.gelsight_mini.gsmini_cfg; openworldtactile_uipc; openworldtactile_uipc.utils,isaaclab; isaacsim; torch,1,/Props/ball_wood.usd,module_only
2.1.1,Isaac Lab 2.1.1 / OpenWorldTactile-UIPC,experiments/benchmarks/tactile_sim_performance,active-isaaclab-2.1.1/experiments/benchmarks/tactile_sim_performance/run_ball_rolling_experiment.py,experiments/benchmarks/tactile_sim_performance/run_ball_rolling_experiment.py,run_ball_rolling_experiment.py,,构建/评估/查看工具入口,静态识别的可导航脚本,yes,yes,yes,yes,yes,ok,,run ball rolling experiment,envs.ball_rolling_physx_rigid; envs.ball_rolling_uipc; envs.ball_rolling_uipc_texture,carb; isaaclab; numpy; psutil; pynvml; torch,0,,main_guard; main_function; argparse; AppLauncher
2.1.1,Isaac Lab 2.1.1 / OpenWorldTactile-UIPC,experiments/manipulation/pick-place,active-isaaclab-2.1.1/experiments/manipulation/pick-place/OpenWorldTactile_cylinder_container_deform_record.py,experiments/manipulation/pick-place/OpenWorldTactile_cylinder_container_deform_record.py,OpenWorldTactile_cylinder_container_deform_record.py,,实验演示入口,静态识别的可导航脚本,yes,yes,yes,yes,yes,ok,,OpenWorldTactile cylinder container deform record,openworldtactile; openworldtactile_assets; openworldtactile_assets.robots.agilex; openworldtactile_assets.sensors.gelsight_mini.gsmini_cfg; openworldtactile_uipc,carb; cv2; h5py; isaaclab; isaacsim; numpy; omni; pxr; torch,3,.hdf5; .jpg; /Props/plate.usd,main_guard; main_function; argparse; AppLauncher
2.1.1,Isaac Lab 2.1.1 / OpenWorldTactile-UIPC,experiments/manipulation/pick-place,active-isaaclab-2.1.1/experiments/manipulation/pick-place/OpenWorldTactile_cylinder_container_random_record.py,experiments/manipulation/pick-place/OpenWorldTactile_cylinder_container_random_record.py,OpenWorldTactile_cylinder_container_random_record.py,,实验演示入口,静态识别的可导航脚本,yes,yes,yes,yes,yes,ok,,OpenWorldTactile cylinder container random record,openworldtactile; openworldtactile_assets; openworldtactile_assets.robots.agilex; openworldtactile_assets.sensors.gelsight_mini.gsmini_cfg,carb; cv2; h5py; isaaclab; isaacsim; numpy; omni; torch,3,.hdf5; .jpg; /Props/plate.usd,main_guard; main_function; argparse; AppLauncher
2.1.1,Isaac Lab 2.1.1 / OpenWorldTactile-UIPC,experiments/manipulation/pick-place,active-isaaclab-2.1.1/experiments/manipulation/pick-place/OpenWorldTactile_cylinder_container_random_record_300size.py,experiments/manipulation/pick-place/OpenWorldTactile_cylinder_container_random_record_300size.py,OpenWorldTactile_cylinder_container_random_record_300size.py,,实验演示入口,静态识别的可导航脚本,yes,yes,yes,yes,yes,ok,,OpenWorldTactile cylinder container random record 300size,openworldtactile; openworldtactile_assets; openworldtactile_assets.robots.agilex; openworldtactile_assets.sensors.gelsight_mini.gsmini_cfg,carb; cv2; h5py; isaaclab; isaacsim; numpy; omni; torch,3,.hdf5; .jpg; /Props/plate.usd,main_guard; main_function; argparse; AppLauncher
2.1.1,Isaac Lab 2.1.1 / OpenWorldTactile-UIPC,experiments/manipulation/pick-place,active-isaaclab-2.1.1/experiments/manipulation/pick-place/OpenWorldTactile_cylinder_container_random_run.py,experiments/manipulation/pick-place/OpenWorldTactile_cylinder_container_random_run.py,OpenWorldTactile_cylinder_container_random_run.py,,实验演示入口,静态识别的可导航脚本,yes,yes,yes,yes,yes,ok,,OpenWorldTactile cylinder container random run,openworldtactile; openworldtactile_assets; openworldtactile_assets.robots.agilex; openworldtactile_assets.sensors.gelsight_mini.gsmini_cfg,carb; cv2; h5py; isaaclab; isaacsim; numpy; omni; torch,3,.hdf5; .jpg; /Props/plate.usd,main_guard; main_function; argparse; AppLauncher
2.1.1,Isaac Lab 2.1.1 / OpenWorldTactile-UIPC,experiments/manipulation/pick-place,active-isaaclab-2.1.1/experiments/manipulation/pick-place/OpenWorldTactile_cylinder_container_scene.py,experiments/manipulation/pick-place/OpenWorldTactile_cylinder_container_scene.py,OpenWorldTactile_cylinder_container_scene.py,,场景定义/演示入口,静态识别的可导航脚本,yes,yes,yes,yes,yes,ok,,OpenWorldTactile cylinder container scene,openworldtactile; openworldtactile_assets; openworldtactile_assets.robots.agilex; openworldtactile_assets.sensors.gelsight_mini.gsmini_cfg,carb; cv2; isaaclab; isaacsim; numpy; omni; torch,1,/Props/plate.usd,main_guard; main_function; argparse; AppLauncher
2.1.1,Isaac Lab 2.1.1 / OpenWorldTactile-UIPC,experiments/manipulation/pick-place,active-isaaclab-2.1.1/experiments/manipulation/pick-place/OpenWorldTactile_cylinder_container_scene_base.py,experiments/manipulation/pick-place/OpenWorldTactile_cylinder_container_scene_base.py,OpenWorldTactile_cylinder_container_scene_base.py,,场景定义/演示入口,静态识别的可导航脚本,yes,yes,yes,yes,yes,ok,,OpenWorldTactile cylinder container scene base,openworldtactile_assets; openworldtactile_assets.robots.agilex,carb; isaaclab; numpy; omni; torch,1,/Props/plate.usd,main_guard; main_function; argparse; AppLauncher
2.1.1,Isaac Lab 2.1.1 / OpenWorldTactile-UIPC,experiments/manipulation/pick-place,active-isaaclab-2.1.1/experiments/manipulation/pick-place/OpenWorldTactile_cylinder_container_softpad_record.py,experiments/manipulation/pick-place/OpenWorldTactile_cylinder_container_softpad_record.py,OpenWorldTactile_cylinder_container_softpad_record.py,,实验演示入口,静态识别的可导航脚本,yes,yes,yes,yes,yes,ok,,OpenWorldTactile cylinder container softpad record,openworldtactile; openworldtactile_assets; openworldtactile_assets.robots.agilex; openworldtactile_assets.sensors.gelsight_mini.gsmini_cfg; openworldtactile_uipc,carb; cv2; h5py; isaaclab; isaacsim; numpy; omni; pxr; torch,3,.hdf5; .jpg; /Props/plate.usd,main_guard; main_function; argparse; AppLauncher
2.1.1,Isaac Lab 2.1.1 / OpenWorldTactile-UIPC,experiments/manipulation/pick-place,active-isaaclab-2.1.1/experiments/manipulation/pick-place/OpenWorldTactile_cylinder_peg_down_rub_random_record_usd.py,experiments/manipulation/pick-place/OpenWorldTactile_cylinder_peg_down_rub_random_record_usd.py,OpenWorldTactile_cylinder_peg_down_rub_random_record_usd.py,,实验演示入口,静态识别的可导航脚本,yes,yes,yes,yes,yes,ok,,OpenWorldTactile cylinder peg down rub random record usd,openworldtactile; openworldtactile_assets; openworldtactile_assets.robots.agilex; openworldtactile_assets.sensors.gelsight_mini.gsmini_cfg,carb; cv2; h5py; isaaclab; isaacsim; numpy; omni; torch,4,.hdf5; .jpg; /Props/plate.usd; /Robots/AgileX/Piper/piper_openworldtactile.usd,main_guard; main_function; argparse; AppLauncher
2.1.1,Isaac Lab 2.1.1 / OpenWorldTactile-UIPC,experiments/manipulation/pick-place,active-isaaclab-2.1.1/experiments/manipulation/pick-place/OpenWorldTactile_cylinder_peg_down_rub_random_record_usd_fxyrenew.py,experiments/manipulation/pick-place/OpenWorldTactile_cylinder_peg_down_rub_random_record_usd_fxyrenew.py,OpenWorldTactile_cylinder_peg_down_rub_random_record_usd_fxyrenew.py,,实验演示入口,静态识别的可导航脚本,yes,yes,yes,yes,yes,ok,,OpenWorldTactile cylinder peg down rub random record usd fxyrenew,openworldtactile; openworldtactile_assets; openworldtactile_assets.robots.agilex; openworldtactile_assets.sensors.gelsight_mini.gsmini_cfg,carb; cv2; h5py; isaaclab; isaacsim; numpy; omni; torch,4,.hdf5; .jpg; /Props/plate.usd; /Robots/AgileX/Piper/piper_openworldtactile.usd,main_guard; main_function; argparse; AppLauncher
2.1.1,Isaac Lab 2.1.1 / OpenWorldTactile-UIPC,experiments/manipulation/pick-place,active-isaaclab-2.1.1/experiments/manipulation/pick-place/OpenWorldTactile_cylinder_peg_in_hole_random_record.py,experiments/manipulation/pick-place/OpenWorldTactile_cylinder_peg_in_hole_random_record.py,OpenWorldTactile_cylinder_peg_in_hole_random_record.py,,实验演示入口,静态识别的可导航脚本,yes,yes,yes,yes,yes,ok,,OpenWorldTactile cylinder peg in hole random record,openworldtactile; openworldtactile_assets; openworldtactile_assets.robots.agilex; openworldtactile_assets.sensors.gelsight_mini.gsmini_cfg,carb; cv2; h5py; isaaclab; isaacsim; numpy; omni; torch,3,.hdf5; .jpg; /Props/plate.usd,main_guard; main_function; argparse; AppLauncher
